score,highscore,block width difference
0,0,
13,13,"96, 93, 92, 84, 70, 42, 27, 26, 24, 23, 11, 10, 8"
1,13,98
10,13,"90, 88, 52, 30, 30, 22, 20, 16, 13, 10"
