score,highscore,block width difference
1,1,70
1,1,70
3,3,"70, 82, 79, 19"
3,3,"70, 82, 79, 19"
3,3,"70, 82, 79, 19, 83, 72, 29"
3,3,"70, 82, 79, 19, 83, 72, 29"
2,3,"70, 82, 79, 19, 83, 72, 29, 58, 55"
2,3,"70, 82, 79, 19, 83, 72, 29, 58, 55"
4,4,"70, 82, 79, 19, 83, 72, 29, 58, 55, 98, 87, 80, 70"
4,4,"70, 82, 79, 19, 83, 72, 29, 58, 55, 98, 87, 80, 70"
0,4,"70, 82, 79, 19, 83, 72, 29, 58, 55, 98, 87, 80, 70"
