score,highscore,block width difference
12,12,"90, 86, 80, 60, 48, 46, 44, 44, 39, 38, 36, 25"
8,12,"89, 76, 76, 59, 53, 43, 23, 12"
0,12,
13,13,"98, 96, 85, 81, 57, 53, 41, 37, 33, 31, 17, 17, 12"
14,14,"94, 90, 83, 68, 68, 64, 55, 50, 48, 41, 38, 35, 30, 23"
0,14,
15,15,"96, 88, 85, 77, 58, 47, 32, 30, 28, 24, 18, 17, 12, 5, 2"
13,15,"98, 89, 86, 70, 67, 58, 46, 34, 23, 19, 11, 9, 1"
