score,highscore,block width difference
2,2,"98, 88"
13,13,"94, 92, 89, 73, 68, 65, 55, 43, 26, 23, 18, 4, 3"
12,13,"92, 86, 77, 72, 62, 54, 36, 35, 33, 24, 19, 7"
12,13,"88, 85, 85, 64, 58, 51, 47, 46, 40, 30, 20, 11"
0,13,
15,15,"100, 96, 79, 67, 48, 47, 46, 31, 30, 26, 24, 21, 8, 5, 1"
