score,highscore,block width difference
1,1,70
1,1,70
3,3,"70, 66, 52, 23"
3,3,"70, 66, 52, 23"
1,3,"70, 66, 52, 23, 43"
1,3,"70, 66, 52, 23, 43"
0,3,"70, 66, 52, 23, 43"
0,3,"70, 66, 52, 23, 43"
